raw_compound,KD_M,reference_date,compound_id,smiles,smiles_source,pKD
CF-3-23,9.125912574931793e-05,20200928,CF-3-23,CC1=CC=C(OC)C(NC([C@H]2CCCN2C(OC(C)(C)C)=O)=O)=C1,id_with_smiles,4.039723696028684
CF-3-24,0.0002589836150693426,20200928,CF-3-24,CC1=CC=C(OC)C(NC([C@@H]2NCCC2)=O)=C1,id_with_smiles,3.5867277112471805
CF-3-35,,20200928,CF-3-35,COC1=CC=C(C)C=C1NC(CNC(C2=CC=CC=C2)=O)=O,id_with_smiles,
CF-3-36,0.0013986661469012071,20200928,CF-3-36,COC1=CC=C(C)C=C1NC(CNC(CC2=CC=CC=C2)=O)=O,id_with_smiles,2.854285936588499
CF-4-04*,0.0007708465552738788,20200928,CF-4-04,,unresolved,3.1130320640114175
CF-4-08,,20200928,CF-4-08,FC1=CC(Cl)=CN=C1N[C@@H]2CN(C(OC(C)(C)C)=O)CC2,id_with_smiles,
CF-4-53,,20200928,CF-4-53,BrC1=CN=C(NC(CO)CO)C(F)=C1,id_with_smiles,
CF-4-54,0.0015506815287418397,20200928,CF-4-54,BrC1=CN=C(NCC2=CC=CN=C2)C(F)=C1,id_with_smiles,2.809477386268815
CF-4-54',0.0008521572189822313,20200928,CF-4-54',BrC1=CN=C(Cl)C(NCC2=CC=CN=C2)=C1,id_with_smiles,3.06948027256025
CF-6-24,0.0011138031340022661,20200928,CF-6-24,O=C(O)C1CN(C(C2=CC=CC(O)=C2)=O)C3=CC=CC=C31,id_with_smiles,2.953191564433353
CF-6-26,0.001226737764893897,20200928,CF-6-26,O=C(O)C1CN(C(C2=CC=CC=C2C)=O)C3=CC=CC=C31,id_with_smiles,2.911248264845367
CF-6-29,0.000177186970083577,20200928,CF-6-29,O=C(O)C1CN(C(C2=CC(C3=CC=CC=C3)=CC=C2)=O)C4=CC=CC=C41,id_with_smiles,3.751568218277779
CF-6-35,9.329205936247198e-05,20200928,CF-6-35,O=C(O)C1CN(C(C2=CC=C(C(N3CCN(C(C)=O)CC3)=O)C=C2)=O)C4=CC=CC=C41,id_with_smiles,4.030155320045798
CF-6-55,0.0007213913216412633,20200928,CF-6-55,O=C(O)C1CN(C(C2=CC=C(NC=N3)C3=C2)=O)C4=CC=CC=C41,id_with_smiles,3.1418290865615726
CF-6-63,0.000552559259943982,20200928,CF-6-63,O=C(O)C1CN(C(CCC2=CC=CC=C2)=O)C3=CC=CC=C31,id_with_smiles,3.2576211386626523
CF-2-06,,20200928,CF-2-06,O=C1N(C2=C(Cl)C=CC=C2)CCC1NC3=CC=CC=C3F,id_with_smiles,
CF-2-07,8.726503079956856e-05,20200928,CF-2-07,O=C1N(C2=C(Cl)C=CC=C2)CCC1NC3=CC=C(OC)C=C3,id_with_smiles,4.0591597536972035
CF-2-30,0.00446371305455388,20200928,CF-2-30,FC1=CC=CC(F)=C1N2CCC(NC(CCC3=CC=CC=C3)=O)C2=O,id_with_smiles,2.350303731370942
