pocket,query_pdb,query_ligand,query_smiles,hit_smiles,hit_inchikey,similarity,price_usd,supplier_risk,chemistry_risk,all_pockets,mw,logp,hbd,hba,heavy_atoms,num_rings,max_fused_rings,pains,bad_motifs,fused_benzene_rings
A,7ZK2,IU4,CC(=O)Nc1ccc(cc1)c2csc(n2)N3CCOCC3,CC(C)C(=O)Nc1ccc(-c2csc(N3CCOCC3)n2)cc1,CDBVWDXLEIEPBD-UHFFFAOYSA-N,0.804347813129425,375,low,,A,331.1354479120001,3.241200000000002,1,5,23,3,1,False,,1
A,7ZK2,IU4,CC(=O)Nc1ccc(cc1)c2csc(n2)N3CCOCC3,CNC(=O)Nc1ccc(-c2csc(N3CCOCC3)n2)cc1,MTRADWNDLDFWDI-UHFFFAOYSA-N,0.804347813129425,375,low,,A,318.115046816,2.3980000000000006,2,5,22,3,1,False,,1
A,5QRK,NWV,Cn1cc(cn1)CNC(=O)c2ccco2,Cn1cc(CNC(=O)c2ccc(C(=O)c3ccco3)cc2)cn1,MDSOSPDMMXYSKY-UHFFFAOYSA-N,0.7954545617103577,125,low,,A,309.1113413400001,2.1741,1,4,23,3,1,False,,1
A,5QRH,JMM,c1cc(oc1)C(=O)N2CCN(CC2)C(=O)C3CC3,CC1CCC(C(=O)N2CCCN(C(=O)c3ccco3)CC2)CC1,JVRZYYHQHLVZNI-UHFFFAOYSA-N,0.7948718070983887,125,low,,A,318.194342692,2.780400000000001,0,3,23,3,1,False,,0
A,5QRH,JMM,c1cc(oc1)C(=O)N2CCN(CC2)C(=O)C3CC3,O=C(c1ccco1)N1CCCN(C(=O)[C@H]2CC[C@H](F)CC2)CC1,YTAJHGGIOBEQTF-HDJSIYSDSA-N,0.7948718070983887,540,low,,A,322.16927081600005,2.4824,0,3,23,3,1,False,,0
A,5QRH,JMM,c1cc(oc1)C(=O)N2CCN(CC2)C(=O)C3CC3,O=C(c1ccco1)N1CCCN(C(=O)C2CCC(F)CC2)CC1,YTAJHGGIOBEQTF-UHFFFAOYSA-N,0.7948718070983887,295,low,,A,322.16927081600005,2.4824,0,3,23,3,1,False,,0
A,5QRH,JMM,c1cc(oc1)C(=O)N2CCN(CC2)C(=O)C3CC3,O=C(c1ccco1)N1CCCN(C(=O)[C@H]2CC[C@@H](F)CC2)CC1,YTAJHGGIOBEQTF-OKILXGFUSA-N,0.7948718070983887,540,low,,A,322.16927081600005,2.4824,0,3,23,3,1,False,,0
A,5QRY,NZD,CN1CCN(CC1)C(=O)Nc2ccccc2,CN1CCN(C(=O)Nc2ccc(Cc3ccccc3)cc2)CC1,KHRWEPRCGUJQNI-UHFFFAOYSA-N,0.7878788113594055,250,low,,A,309.184112356,3.056700000000002,1,2,23,3,1,False,,1
A,7ZK2,IU4,CC(=O)Nc1ccc(cc1)c2csc(n2)N3CCOCC3,CN(C)C(=O)Nc1ccc(-c2csc(N3CCOCC3)n2)cc1,DSAKCWUZNXFRGJ-UHFFFAOYSA-N,0.7872340679168701,375,low,,A,332.13069688,2.7402000000000015,1,5,23,3,1,False,,1
A,7ZK2,IU4,CC(=O)Nc1ccc(cc1)c2csc(n2)N3CCOCC3,CCC(=O)Nc1ccc(-c2csc(N3CCOCC3)n2)cc1,KRQLVABSINNLFW-UHFFFAOYSA-N,0.7872340679168701,250,low,,A,317.1197978480001,2.9952000000000014,1,5,22,3,1,False,,1
A,7ZK2,IU4,CC(=O)Nc1ccc(cc1)c2csc(n2)N3CCOCC3,O=C(Nc1ccccc1)Nc1ccc(-c2csc(N3CCOCC3)n2)cc1,MUIVFZCDDXBNIR-UHFFFAOYSA-N,0.782608687877655,1620,low,,A,380.13069688,4.290700000000003,2,5,27,4,1,False,,1
A,7ZK2,IU4,CC(=O)Nc1ccc(cc1)c2csc(n2)N3CCOCC3,CC(=O)Nc1ccc(-c2csc(N3CCNCC3)n2)cc1,FIZXSHUEYIEXJQ-UHFFFAOYSA-N,0.7777777910232544,375,low,,A,302.120132196,2.1780999999999997,2,5,21,3,1,False,,1
