pocket,query_pdb,query_ligand,query_smiles,hit_smiles,hit_inchikey,similarity,price_usd,supplier_risk,chemistry_risk,all_pockets,mw,logp,hbd,hba,heavy_atoms,num_rings,max_fused_rings,pains,bad_motifs,fused_benzene_rings
A,5QS5,NZJ,Cc1cccc(c1)C(=O)N2CCC(CC2)C(=O)N,Cc1cccc(-c2cccc(C(=O)N3CCC(C(N)=O)CC3)c2)c1,UBCGUDHDNUGTSI-UHFFFAOYSA-N,0.8421052694320679,125,low,,A,322.168127944,2.9995200000000013,1,2,24,3,1,False,,1
A,5QRY,NZD,CN1CCN(CC1)C(=O)Nc2ccccc2,CN1CCN(C(=O)Nc2ccc(-c3ccc(-c4ccccc4)cc3)cc2)CC1,YIGJKWADCIZUPU-UHFFFAOYSA-N,0.8387096524238586,375,low,,A,371.19976242,4.799900000000004,1,2,28,4,1,False,,1
A,7ZK2,IU4,CC(=O)Nc1ccc(cc1)c2csc(n2)N3CCOCC3,NC(=O)Nc1ccc(-c2csc(N3CCOCC3)n2)cc1,KOXOKSXMPGMNMS-UHFFFAOYSA-N,0.8181818127632141,250,low,,A,304.099396752,2.1373000000000006,2,5,21,3,1,False,,1
A,5QRH,JMM,c1cc(oc1)C(=O)N2CCN(CC2)C(=O)C3CC3,O=C(c1ccco1)N1CCCN(C(=O)[C@H]2CC[C@H](O)CC2)CC1,MKHWPQXIMODEFB-HDJSIYSDSA-N,0.8157894611358643,125,low,,A,320.173607248,1.5051999999999999,1,4,23,3,1,False,,0
A,5QRH,JMM,c1cc(oc1)C(=O)N2CCN(CC2)C(=O)C3CC3,O=C(c1ccco1)N1CCCN(C(=O)[C@H]2CC[C@@H](O)CC2)CC1,MKHWPQXIMODEFB-OKILXGFUSA-N,0.8157894611358643,125,low,,A,320.173607248,1.5051999999999999,1,4,23,3,1,False,,0
A,5QRH,JMM,c1cc(oc1)C(=O)N2CCN(CC2)C(=O)C3CC3,O=C(c1ccco1)N1CCCN(C(=O)C2CCC(O)CC2)CC1,MKHWPQXIMODEFB-UHFFFAOYSA-N,0.8157894611358643,125,low,,A,320.173607248,1.5051999999999999,1,4,23,3,1,False,,0
A,7ZK2,IU4,CC(=O)Nc1ccc(cc1)c2csc(n2)N3CCOCC3,C=C(C)C(=O)Nc1ccc(-c2csc(N3CCOCC3)n2)cc1,UMPVLRVZCRADHN-UHFFFAOYSA-N,0.8085106611251831,1080,low,,A,329.1197978480001,3.1613000000000016,1,5,23,3,1,False,,1
A,7ZK2,IU4,CC(=O)Nc1ccc(cc1)c2csc(n2)N3CCOCC3,CC(=O)Nc1ccc2cc(-c3csc(N4CCOCC4)n3)ccc2c1,XOFMMSVKISBGMZ-UHFFFAOYSA-N,0.8085106611251831,3000,low,,A,353.1197978480001,3.758300000000003,1,5,25,4,2,False,,2
A,7ZK2,IU4,CC(=O)Nc1ccc(cc1)c2csc(n2)N3CCOCC3,Cc1ccc(NC(=O)Nc2ccc(-c3csc(N4CCOCC4)n3)cc2)cc1,DHDGEROCNLKZLS-UHFFFAOYSA-N,0.804347813129425,885,low,,A,394.14634694399996,4.599120000000004,2,5,28,4,1,False,,1
A,7ZK2,IU4,CC(=O)Nc1ccc(cc1)c2csc(n2)N3CCOCC3,CC(C)C(=O)Nc1ccc(-c2csc(N3CCOCC3)n2)cc1,CDBVWDXLEIEPBD-UHFFFAOYSA-N,0.804347813129425,375,low,,A,331.1354479120001,3.241200000000002,1,5,23,3,1,False,,1
A,7ZK2,IU4,CC(=O)Nc1ccc(cc1)c2csc(n2)N3CCOCC3,CNC(=O)Nc1ccc(-c2csc(N3CCOCC3)n2)cc1,MTRADWNDLDFWDI-UHFFFAOYSA-N,0.804347813129425,375,low,,A,318.115046816,2.3980000000000006,2,5,22,3,1,False,,1
A,5QRK,NWV,Cn1cc(cn1)CNC(=O)c2ccco2,Cn1cc(CNC(=O)c2ccc(C(=O)c3ccco3)cc2)cn1,MDSOSPDMMXYSKY-UHFFFAOYSA-N,0.7954545617103577,125,low,,A,309.1113413400001,2.1741,1,4,23,3,1,False,,1
A,5QRH,JMM,c1cc(oc1)C(=O)N2CCN(CC2)C(=O)C3CC3,CC1CCC(C(=O)N2CCCN(C(=O)c3ccco3)CC2)CC1,JVRZYYHQHLVZNI-UHFFFAOYSA-N,0.7948718070983887,125,low,,A,318.194342692,2.780400000000001,0,3,23,3,1,False,,0
A,5QRH,JMM,c1cc(oc1)C(=O)N2CCN(CC2)C(=O)C3CC3,O=C(c1ccco1)N1CCCN(C(=O)[C@H]2CC[C@H](F)CC2)CC1,YTAJHGGIOBEQTF-HDJSIYSDSA-N,0.7948718070983887,540,low,,A,322.16927081600005,2.4824,0,3,23,3,1,False,,0
A,5QRH,JMM,c1cc(oc1)C(=O)N2CCN(CC2)C(=O)C3CC3,O=C(c1ccco1)N1CCCN(C(=O)[C@H]2CC[C@@H](F)CC2)CC1,YTAJHGGIOBEQTF-OKILXGFUSA-N,0.7948718070983887,540,low,,A,322.16927081600005,2.4824,0,3,23,3,1,False,,0
A,5QRH,JMM,c1cc(oc1)C(=O)N2CCN(CC2)C(=O)C3CC3,O=C(c1ccco1)N1CCCN(C(=O)C2CCC(F)CC2)CC1,YTAJHGGIOBEQTF-UHFFFAOYSA-N,0.7948718070983887,295,low,,A,322.16927081600005,2.4824,0,3,23,3,1,False,,0
A,5QS9,O0J,CC(=O)Nc1ccc(cc1)c2csc(n2)N,CC(=O)Nc1ccc(-c2cccc(-c3csc(N)n3)n2)cc1,RNQMXJSYHUPDRC-UHFFFAOYSA-N,0.7894737124443054,250,low,,A,310.08883206800004,3.412700000000001,2,5,22,3,1,False,,1
A,7ZK2,IU4,CC(=O)Nc1ccc(cc1)c2csc(n2)N3CCOCC3,CCC(=O)Nc1ccc(-c2csc(N3CCOCC3)n2)cc1,KRQLVABSINNLFW-UHFFFAOYSA-N,0.7872340679168701,250,low,,A,317.1197978480001,2.9952000000000014,1,5,22,3,1,False,,1
A,7ZK2,IU4,CC(=O)Nc1ccc(cc1)c2csc(n2)N3CCOCC3,CN(C)C(=O)Nc1ccc(-c2csc(N3CCOCC3)n2)cc1,DSAKCWUZNXFRGJ-UHFFFAOYSA-N,0.7872340679168701,375,low,,A,332.13069688,2.7402000000000015,1,5,23,3,1,False,,1
A,7ZK2,IU4,CC(=O)Nc1ccc(cc1)c2csc(n2)N3CCOCC3,O=C(Nc1ccccc1)Nc1ccc(-c2csc(N3CCOCC3)n2)cc1,MUIVFZCDDXBNIR-UHFFFAOYSA-N,0.782608687877655,1620,low,,A,380.13069688,4.290700000000003,2,5,27,4,1,False,,1
A,7ZK2,IU4,CC(=O)Nc1ccc(cc1)c2csc(n2)N3CCOCC3,CC(=O)Nc1ccc(-c2csc(N3CCNCC3)n2)cc1,FIZXSHUEYIEXJQ-UHFFFAOYSA-N,0.7777777910232544,375,low,,A,302.120132196,2.1780999999999997,2,5,21,3,1,False,,1
A,7ZK2,IU4,CC(=O)Nc1ccc(cc1)c2csc(n2)N3CCOCC3,CC(=O)c1ccc(NC(=O)c2ccc(-c3csc(N4CCOCC4)n3)cc2)cc1,TXRJDOKVFJODEM-UHFFFAOYSA-N,0.7755101919174194,1620,low,,A,407.13036253200005,4.101600000000002,1,6,29,4,1,False,,1
A,5QRN,NX7,c1cc(c(c(c1)F)C(=O)N2CCCC2)F,O=C(c1c(F)cccc1I)N1CCCC1,SHLJBZIAFBUGJW-UHFFFAOYSA-N,0.774193525314331,125,low,,A,318.986940192,2.6663000000000006,0,1,15,2,1,False,,1
A,5QS9,O0J,CC(=O)Nc1ccc(cc1)c2csc(n2)N,NC(=O)Nc1ccc(-c2ccc(-c3csc(N)n3)cc2)cc1,ZAPWWGQBBYNKEP-UHFFFAOYSA-N,0.7714285850524902,375,low,,A,310.088832068,3.549900000000002,3,4,22,3,1,False,,1
A,7ZK2,IU4,CC(=O)Nc1ccc(cc1)c2csc(n2)N3CCOCC3,CCNC(=O)Nc1ccc(-c2csc(N3CCOCC3)n2)cc1,CPJSJSHCMAMONN-UHFFFAOYSA-N,0.7708333134651184,250,low,,A,332.13069688,2.788100000000001,2,5,23,3,1,False,,1
A,5QS3,LJA,CC(=O)Nc1cccc(c1)NC(=O)N,CC(=O)Nc1cccc(NC(=O)c2cccc(NC(N)=O)c2)c1,GOTGJQORQVIKFB-UHFFFAOYSA-N,0.7666666507720947,375,low,,A,312.12224037199996,2.3879,4,3,23,2,1,False,,1
A,7ZK2,IU4,CC(=O)Nc1ccc(cc1)c2csc(n2)N3CCOCC3,CC(=O)NS(=O)(=O)c1ccc(-c2csc(N3CCOCC3)n2)cc1,OZXHIWGDKDETGO-UHFFFAOYSA-N,0.7659574747085571,885,low,,A,367.066048024,1.4715,1,7,24,3,1,False,,1
A,7ZK2,IU4,CC(=O)Nc1ccc(cc1)c2csc(n2)N3CCOCC3,CNC(=S)Nc1ccc(-c2csc(N3CCOCC3)n2)cc1,WYNNTUXJNZGKMP-UHFFFAOYSA-N,0.7659574747085571,375,low,,A,334.092203196,2.562900000000001,2,5,22,3,1,False,,1
A,7ZK2,IU4,CC(=O)Nc1ccc(cc1)c2csc(n2)N3CCOCC3,CC(=O)Nc1cccc(-c2csc(N3CCOCC3)n2)c1,UDQHFHZJNGGIEA-UHFFFAOYSA-N,0.7659574747085571,250,low,,A,303.1041477840001,2.6051,1,5,21,3,1,False,,1
