compound_id,canonical_smiles,supplier,pKD_global_mean,is_binder,binder_threshold_pkd
1000062067,COc1cccc(Nc2ccccc2C(=O)N2CC[C@@H](O)[C@@H](O)C2)c1,ChemSpace (numeric),2.890109975118567,false,3.837255850567785
1000065718,COc1ccc(C(=O)Nc2ccccc2C(=O)N2CC[C@@H](O)[C@@H](O)C2)cc1,ChemSpace (numeric),2.5403721597408295,false,3.837255850567785
101855926,O=C1CC2(CCN(C(=O)c3ccccc3Nc3ccc(SC(F)F)cc3)CC2)N1,ChemSpace (numeric),3.576846710593981,false,3.837255850567785
105107348,O=C(Nc1c[nH]nc1Cl)C1CC(=O)N(c2ccccc2Cl)C1,ChemSpace (numeric),3.1540436501827895,false,3.837255850567785
105155594,CN(CCCN1CCCC1)C(=O)c1ccc(=O)n(Cc2ccccc2Cl)c1,ChemSpace (numeric),3.150653634324521,false,3.837255850567785
1132328100,C[C@@H]1CN(C(=O)c2occc2CN2C(=O)Cc3ccccc32)C[C@H]1O,ChemSpace (numeric),3.340335610162671,false,3.837255850567785
1167298751,CN(CC1CCCNC1)C(=O)c1ccc(=O)n(Cc2ccccc2Cl)c1,ChemSpace (numeric),2.8363811201272076,false,3.837255850567785
1181032117,NC(=O)C1CCN1C(=O)NC1CCN(c2ccccc2Cl)C1=O,ChemSpace (numeric),2.365909297963787,false,3.837255850567785
1192001018,O=C(c1occc1CN1C(=O)Cc2ccccc21)N1CCC(O)C1,ChemSpace (numeric),2.988120443146682,false,3.837255850567785
1257035688,Cc1ccccc1N1CCCC(Nc2ccc(Cl)c(C(N)=O)c2)C1=O,ChemSpace (numeric),3.4202277871102655,false,3.837255850567785
1288418269,CCNC1CCCN(C(=O)c2occc2CN2C(=O)Cc3ccccc32)C1,ChemSpace (numeric),3.8579422583945964,true,3.837255850567785
1390181723,O=C(NCC1(O)CCOc2ccccc21)C1OCCc2ccccc21,ChemSpace (numeric),2.741112000381227,false,3.837255850567785
1408803353,COC1CCN(C(=O)c2ccccc2Nc2ccccc2)C1,ChemSpace (numeric),2.933807050208411,false,3.837255850567785
1440526295,CCN(CC1CCOCC1)C(=O)c1ccc(=O)n(Cc2ccccc2Cl)c1,ChemSpace (numeric),3.3630303715799097,false,3.837255850567785
1443520257,CC1=NOC(C)(CNC(=O)C2OCCc3ccccc32)C1,ChemSpace (numeric),2.2624852509433713,false,3.837255850567785
162723460,COC1CCCN(C(=O)c2ccccc2Nc2ccc(C)cc2)C1,ChemSpace (numeric),2.8373049548092264,false,3.837255850567785
162826242,COC1CCCN(C(=O)c2ccccc2Nc2ccc(OC(F)F)cc2)C1,ChemSpace (numeric),2.354321056684698,false,3.837255850567785
173355673,CN(CC1CCCO1)C(=O)c1ccc(=O)n(Cc2ccccc2Cl)c1,ChemSpace (numeric),2.751116081281551,false,3.837255850567785
182917741,CS(=O)(=O)NC1CCCN(C(=O)c2occc2CN2C(=O)Cc3ccccc32)C1,ChemSpace (numeric),2.7441832433923032,false,3.837255850567785
189605232,CN(Cc1ccc(Cl)cc1)C(=O)c1ccc(=O)n(Cc2ccccc2Cl)c1,ChemSpace (numeric),3.714971599423282,false,3.837255850567785
192562786,CN(Cc1ccccc1Br)C(=O)c1ccc(=O)n(Cc2ccccc2Cl)c1,ChemSpace (numeric),3.864274546405571,true,3.837255850567785
195394279,COc1cccc(Nc2ccccc2C(=O)N2CCC(C3CC3)C2)c1,ChemSpace (numeric),3.450299026214787,false,3.837255850567785
213364210,CN(CCNC(=O)c1ccc(=O)n(Cc2ccccc2Cl)c1)C1CC1,ChemSpace (numeric),3.1589351859899075,false,3.837255850567785
224461280,CC(C)N(C(=O)c1ccc(=O)n(Cc2ccccc2Cl)c1)C1CC1,ChemSpace (numeric),3.677876355827021,false,3.837255850567785
258896354,O=C(c1ccccc1Nc1ccc(SC(F)F)cc1)N1CCC(O)CC1,ChemSpace (numeric),3.7070136829047824,false,3.837255850567785
268757722,O=C(Nc1ncccc1O)C1CC(=O)N(c2c(F)cccc2F)C1,ChemSpace (numeric),2.8682547832756664,false,3.837255850567785
283812978,COC(=O)C1CCN(C(=O)c2ccccc2Nc2ccc(C)cc2)C1,ChemSpace (numeric),2.831157161978425,false,3.837255850567785
293497032,COc1ccc(NC(=O)C2CC(=O)N(c3ccccc3Cl)C2)cc1O,ChemSpace (numeric),3.824136300599861,false,3.837255850567785
302181339,CN1CCC(N(C)C(=O)c2ccc(=O)n(Cc3ccccc3Cl)c2)C1=O,ChemSpace (numeric),2.881901889586504,false,3.837255850567785
342837836,NC(=O)c1cn(CC(=O)NC2CCN(c3ccccc3Cl)C2=O)c2ccccc12,ChemSpace (numeric),3.558455744631982,false,3.837255850567785
